E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
10.4267, 7.82924, 2.5217e-15, 20.8516, 0.00354461
11.8518, 7.82924, 3.05658e-15, 22.2766, 0.00481829
11.4233, 7.82924, 1.03007e-17, 21.8481, 0.00445311
13.8581, 7.82924, 3.7466e-17, 24.2829, 0.00113477
7.4537, 7.82924, 6.53612e-18, 17.8785, 0.00300491
12.5525, 7.82924, 2.07363e-17, 22.9773, 0.00229038
9.31433, 7.82924, 4.79035e-17, 19.7392, 0.00232681
9.00184, 7.82924, 2.90226e-18, 19.4267, 0.00799592
10.5122, 7.82924, 2.73436e-18, 20.937, 0.0010022
9.74253, 7.82924, 9.95766e-18, 20.1674, 0.00241858
5.97278, 7.82924, 1.77755e-17, 16.3976, 0.0048579
8.03842, 7.82924, 2.44947e-17, 18.4633, 0.00228859
10.3482, 7.82924, 3.62056e-17, 21.5935, 0.00312571
10.3502, 7.82924, 6.34948e-17, 21.5954, 0.00702642
8.13773, 7.82924, 5.71017e-19, 19.383, 0.0064286
10.3544, 7.82924, 1.7233e-18, 21.5996, 0.00424258
9.69601, 7.82924, 4.42042e-19, 20.9412, 0.00513938
7.52034, 7.82924, 8.15839e-19, 18.7656, 0.00218441
8.50272, 7.82924, 2.61262e-19, 19.7479, 0.00374163
9.7385, 7.82924, 5.82394e-19, 20.9837, 0.0024065
7.71709, 7.82924, 1.64578e-18, 18.9623, 0.00389305
7.5735, 7.82924, 3.87103e-18, 18.8187, 0.00349223
8.71006, 7.82924, 3.33993e-18, 19.9553, 0.00547747
11.4304, 7.82924, 4.25277e-20, 22.6757, 0.00613049
6.90391, 7.82924, 1.98517e-19, 18.1491, 0.00318106
11.6002, 7.82924, 4.3505e-20, 22.8455, 0.00375767
6.07675, 7.82924, 1.07194e-19, 17.322, 0.00723013
9.21483, 7.82924, 2.61375e-20, 20.4601, 0.00412603
8.46059, 7.82924, 4.60523e-20, 19.7058, 0.00180584
11.243, 7.82924, 1.32836e-19, 22.4882, 0.00663461
8.31888, 7.82924, 2.35864e-19, 19.5641, 0.00252938
9.73193, 7.82924, 2.25958e-19, 20.9772, 0.00383633
7.88104, 7.82924, 5.68421e-19, 20.206, 0.00167149
11.4696, 7.82924, 5.02001e-19, 23.7945, 0.00320465
10.9404, 7.82924, 5.88342e-19, 23.2654, 0.00208761
8.83243, 7.82924, 4.13492e-19, 21.1574, 0.00904325
8.79039, 7.82924, 5.87948e-19, 21.1153, 0.00362355
11.2904, 7.82924, 7.4664e-19, 23.6154, 0.012665
13.2633, 7.82924, 7.23024e-19, 25.5882, 0.00402813
6.89482, 7.82924, 1.11122e-18, 19.2198, 0.00457436
6.51196, 7.82924, 7.19702e-19, 18.8369, 0.00745126
11.9919, 7.82924, 9.25462e-22, 24.3168, 0.00406642
9.44334, 7.82924, 1.93575e-21, 21.7683, 0.00181428
8.7014, 7.82924, 2.42073e-21, 21.0263, 0.00929764
10.9975, 7.82924, 8.90008e-21, 23.3225, 0.00255605
9.87165, 7.82924, 8.00188e-21, 22.1966, 0.00225379
10.8373, 7.82924, 1.02607e-20, 23.1622, 0.00239426
10.1137, 7.82924, 1.07875e-22, 22.4386, 0.00310758
11.1119, 7.82924, 7.76477e-23, 23.4368, 0.00308483
8.68988, 7.82924, 7.59877e-23, 21.0148, 0.00733798
9.9314, 7.82924, 6.19335e-23, 22.2563, 0.00392821
10.078, 7.82924, 1.71074e-22, 22.4029, 0.00204015
8.33147, 7.82924, 3.80191e-22, 22.0774, 0.0036591
10.8581, 7.82924, 3.64335e-22, 24.604, 0.0102221
8.37965, 7.82924, 7.65211e-22, 22.1256, 0.00814396
10.6977, 7.82924, 8.68428e-22, 24.4436, 0.00234183
7.4538, 7.82924, 1.31007e-21, 21.1997, 0.00188388
9.56734, 7.82924, 1.2913e-21, 23.3132, 0.00415084
10.2418, 7.82924, 1.61729e-23, 23.9877, 0.00346624
6.27338, 7.82924, 3.81229e-23, 20.0193, 0.00637864
10.4681, 7.82924, 1.64004e-24, 24.214, 0.0111615
11.3647, 7.82924, 7.80933e-24, 25.1106, 0.00242728
11.2741, 7.82924, 1.85244e-23, 25.02, 0.00440676
9.14559, 7.82924, 2.15501e-23, 22.8915, 0.00226
14.2204, 7.82924, 1.56325e-22, 27.9663, 0.00282803
11.3776, 7.82924, 7.51759e-23, 25.1235, 0.00280756
7.81629, 7.82924, 1.76859e-24, 21.5622, 0.00251045
9.47302, 7.82924, 1.73073e-24, 23.2189, 0.00193812
8.62215, 7.82924, 5.60309e-25, 22.3681, 0.00392935
7.06649, 7.82924, 2.55137e-25, 20.8124, 0.00311797
8.38107, 7.82924, 1.8257e-26, 22.127, 0.00357892
6.24567, 7.82924, 2.204e-27, 19.9916, 0.00456804
8.05453, 7.82924, 2.63164e-27, 23.6705, 0.00774876
11.4313, 7.82924, 2.13821e-27, 27.0473, 0.00636518
10.0874, 7.82924, 1.49948e-24, 25.7034, 0.00343943
7.61815, 7.82924, 2.2336e-26, 23.2342, 0.00842429
10.0339, 7.82924, 9.73707e-27, 25.65, 0.00516108
9.565, 7.82924, 2.47884e-24, 25.181, 0.00538512
8.84833, 7.82924, 3.0231e-26, 24.4643, 0.00470016
10.1969, 7.82924, 4.60537e-28, 25.8129, 0.00569939
8.01356, 7.82924, 7.89492e-28, 23.6296, 0.00680677
9.91527, 7.82924, 3.9672e-26, 25.5313, 0.00901944
7.45914, 7.82924, 6.25014e-28, 23.0752, 0.00222438
7.65284, 7.82924, 9.53969e-28, 23.2688, 0.00437243
11.9534, 7.82924, 2.38986e-25, 27.5694, 0.00761934
7.90831, 7.82924, 8.54625e-25, 23.5243, 0.00230835
9.04373, 7.82924, 1.07065e-24, 24.6597, 0.00541337
8.85605, 7.82924, 2.69743e-27, 24.4721, 0.00566545
8.94879, 7.82924, 5.98698e-27, 24.5648, 0.00515469
10.2268, 7.82924, 9.86865e-29, 25.8428, 0.00214064
10.3345, 7.82924, 2.30268e-28, 25.9505, 0.00204288
10.2702, 7.82924, 1.64477e-28, 25.8862, 0.00235157
7.96267, 7.82924, 9.86865e-29, 26.0399, 0.0053162
11.1472, 7.82924, 3.28955e-29, 29.2244, 0.00343141
7.55697, 7.82924, 1.64477e-28, 25.6342, 0.00327858
8.82162, 7.82924, 9.86865e-29, 26.8988, 0.006229
8.16774, 7.82924, 3.28955e-29, 26.245, 0.00342452
11.3481, 7.82924, 3.28955e-29, 29.4253, 0.00282365
9.18421, 7.82924, 0, 27.2614, 0.00506439
7.33828, 7.82924, 0, 25.4155, 0.00395513
9.68369, 7.82924, 0, 27.7609, 0.00332666
9.90655, 7.82924, 0, 27.9838, 0.00598351
9.45069, 7.82924, 0, 27.5279, 0.00351303
10.8547, 7.82924, 0, 28.9319, 0.00185741
8.21349, 7.82924, 3.55271e-27, 26.2907, 0.00189113
13.4802, 7.82924, 0, 31.5574, 0.00546326
9.12824, 7.82924, 1.64477e-28, 27.2055, 0.00259975
9.63437, 7.82924, 0, 27.7116, 0.00334326
10.7918, 7.82924, 3.48692e-27, 28.869, 0.00768899
10.7464, 7.82924, 0, 28.8236, 0.00257255
11.357, 7.82924, 1.64477e-28, 29.4342, 0.00224778
10.5015, 7.82924, 0, 28.5787, 0.00384464
10.0826, 7.82924, 0, 31.3989, 0.00254282
8.62224, 7.82924, 9.86865e-29, 29.9386, 0.00235756
8.59949, 7.82924, 0, 29.9158, 0.00520481
9.97458, 7.82924, 0, 31.2909, 0.0065304
