Energy-Curvature, -Area, -Regularization, -Total ((pN.nm)); Mean Force (pN)
3924.11, 14.2961, 1.12558e-17, 450744, 3.4179
3924.11, 14.2961, 8.70867e-18, 450744, 3.4179
3924.11, 14.2961, 1.05284e-17, 450744, 3.4179
3924.11, 14.2961, 8.14557e-18, 450744, 3.4179
3924.11, 14.2961, 9.84818e-18, 450744, 3.4179
3924.11, 14.2961, 1.19048e-17, 450744, 3.4179
3924.11, 14.2961, 9.21163e-18, 450744, 3.4179
3924.11, 14.2961, 1.11356e-17, 450744, 3.4179
3924.11, 14.2961, 8.61623e-18, 450744, 3.4179
3924.11, 14.2961, 1.0416e-17, 450744, 3.4179
3924.11, 14.2961, 8.05897e-18, 450744, 3.4179
3924.11, 14.2961, 9.74282e-18, 450744, 3.4179
3924.11, 14.2961, 1.1778e-17, 450744, 3.4179
3924.11, 14.2961, 9.11286e-18, 450744, 3.4179
3924.11, 14.2961, 1.10168e-17, 450744, 3.4179
3924.11, 14.2961, 8.52386e-18, 450744, 3.4179
3924.11, 14.2961, 1.0305e-17, 450744, 3.4179
3924.11, 14.2961, 7.9726e-18, 450744, 3.4179
3924.11, 14.2961, 9.639e-18, 450744, 3.4179
3924.11, 14.2961, 1.16515e-17, 450744, 3.4179
3924.11, 14.2961, 9.01549e-18, 450744, 3.4179
3924.11, 14.2961, 1.08991e-17, 450744, 3.4179
3924.11, 14.2961, 8.43282e-18, 450744, 3.4179
3924.11, 14.2961, 1.01949e-17, 450744, 3.4179
3924.11, 14.2961, 1.23245e-17, 450744, 3.4179
3924.11, 14.2961, 9.53578e-18, 450744, 3.4179
3924.11, 14.2961, 1.15287e-17, 450744, 3.4179
3924.11, 14.2961, 8.91919e-18, 450744, 3.4179
3924.11, 14.2961, 1.0783e-17, 450744, 3.4179
3924.11, 14.2961, 8.34277e-18, 450744, 3.4179
3924.11, 14.2961, 1.00856e-17, 450744, 3.4179
3924.11, 14.2961, 1.21934e-17, 450744, 3.4179
3924.11, 14.2961, 9.43391e-18, 450744, 3.4179
3924.11, 14.2961, 1.14051e-17, 450744, 3.4179
3924.11, 14.2961, 8.82425e-18, 450744, 3.4179
3924.11, 14.2961, 1.06681e-17, 450744, 3.4179
3924.11, 14.2961, 8.25411e-18, 450744, 3.4179
3924.11, 14.2961, 9.97837e-18, 450744, 3.4179
3924.11, 14.2961, 1.20631e-17, 450744, 3.4179
3924.11, 14.2961, 9.33308e-18, 450744, 3.4179
3924.11, 14.2961, 1.12828e-17, 450744, 3.4179
3924.11, 14.2961, 8.72969e-18, 450744, 3.4179
3924.11, 14.2961, 1.05538e-17, 450744, 3.4179
3924.11, 14.2961, 8.16513e-18, 450744, 3.4179
3924.11, 14.2961, 9.87144e-18, 450744, 3.4179
3924.11, 14.2961, 1.19339e-17, 450744, 3.4179
3924.11, 14.2961, 9.23348e-18, 450744, 3.4179
3924.11, 14.2961, 1.11626e-17, 450744, 3.4179
3924.11, 14.2961, 8.63703e-18, 450744, 3.4179
3924.11, 14.2961, 1.04412e-17, 450744, 3.4179
3924.11, 14.2961, 1.12558e-17, 450744, 3.4179
3924.11, 14.2961, 8.70865e-18, 450744, 3.4179
3924.11, 14.2961, 1.05285e-17, 450744, 3.4179
3924.11, 14.2961, 8.14557e-18, 450744, 3.4179
3924.11, 14.2961, 9.84814e-18, 450744, 3.4179
3924.11, 14.2961, 1.19048e-17, 450744, 3.4179
3924.11, 14.2961, 9.21166e-18, 450744, 3.4179
3924.11, 14.2961, 1.11357e-17, 450744, 3.4179
3924.11, 14.2961, 8.61625e-18, 450744, 3.4179
3924.11, 14.2961, 1.0416e-17, 450744, 3.4179
3924.11, 14.2961, 8.05897e-18, 450744, 3.4179
3924.11, 14.2961, 9.7428e-18, 450744, 3.4179
3924.11, 14.2961, 1.1778e-17, 450744, 3.4179
3924.11, 14.2961, 9.11289e-18, 450744, 3.4179
3924.11, 14.2961, 1.10168e-17, 450744, 3.4179
3924.11, 14.2961, 8.52385e-18, 450744, 3.4179
3924.11, 14.2961, 1.0305e-17, 450744, 3.4179
3924.11, 14.2961, 7.97262e-18, 450744, 3.4179
3924.11, 14.2961, 9.63897e-18, 450744, 3.4179
3924.11, 14.2961, 1.16516e-17, 450744, 3.4179
3924.11, 14.2961, 9.01549e-18, 450744, 3.4179
3924.11, 14.2961, 1.0899e-17, 450744, 3.4179
3924.11, 14.2961, 8.43285e-18, 450744, 3.4179
3924.11, 14.2961, 1.01949e-17, 450744, 3.4179
3924.11, 14.2961, 1.23245e-17, 450744, 3.4179
3924.11, 14.2961, 9.53573e-18, 450744, 3.4179
3924.11, 14.2961, 1.15288e-17, 450744, 3.4179
3924.11, 14.2961, 8.91918e-18, 450744, 3.4179
3924.11, 14.2961, 1.0783e-17, 450744, 3.4179
3924.11, 14.2961, 8.34281e-18, 450744, 3.4179
3924.11, 14.2961, 1.00857e-17, 450744, 3.4179
3924.11, 14.2961, 1.21934e-17, 450744, 3.4179
3924.11, 14.2961, 9.43389e-18, 450744, 3.4179
3924.11, 14.2961, 1.14051e-17, 450744, 3.4179
3924.11, 14.2961, 8.82429e-18, 450744, 3.4179
3924.11, 14.2961, 1.0668e-17, 450744, 3.4179
3924.11, 14.2961, 8.25417e-18, 450744, 3.4179
3924.11, 14.2961, 9.97839e-18, 450744, 3.4179
3924.11, 14.2961, 1.20632e-17, 450744, 3.4179
3924.11, 14.2961, 9.33303e-18, 450744, 3.4179
