E_Curvature, E_Area, E_Regularization, E_Total ((pN.nm)), Mean Force (pN)
42.5317, 879.769, 0, 928.409, 0.0226114
49.1662, 879.769, 0, 935.043, 0.0204408
61.1857, 879.769, 0, 947.063, 0.123166
56.1034, 879.769, 0, 941.981, 0.0173341
37.8819, 879.769, 0, 923.759, 0.0211842
53.2297, 879.769, 0, 939.107, 0.0425805
41.4308, 879.769, 0, 927.308, 0.0406307
35.5951, 879.769, 0, 921.472, 0.0280917
47.6363, 879.769, 0, 933.513, 0.02599
38.5899, 879.769, 0, 924.467, 0.0311083
42.9935, 879.769, 0, 928.871, 0.0190484
36.9708, 879.769, 0, 922.848, 0.0325351
41.6628, 879.769, 0, 927.54, 0.0186951
35.8973, 879.769, 0, 921.774, 0.0257226
37.6082, 879.769, 0, 923.485, 0.0251901
35.8856, 879.769, 0, 921.763, 0.0303067
36.6479, 879.769, 0, 922.525, 0.0249138
39.6847, 879.769, 0, 925.562, 0.0190198
35.8817, 879.769, 0, 921.759, 0.0203865
46.8199, 879.769, 0, 932.697, 0.0157367
39.6875, 879.769, 0, 925.565, 0.0298534
36.007, 879.769, 0, 921.884, 0.0230535
37.6551, 879.769, 0, 923.532, 0.022462
37.4379, 879.769, 0, 923.315, 0.0178555
34.3808, 879.769, 0, 920.258, 0.0199923
44.7186, 879.769, 0, 930.596, 0.0311841
41.0741, 879.769, 0, 926.951, 0.0226328
37.2656, 879.769, 0, 923.143, 0.0316119
40.4154, 879.769, 0, 926.293, 0.0248306
39.9539, 879.769, 0, 925.831, 0.0571634
33.1283, 879.769, 0, 919.005, 0.0210586
46.9742, 879.769, 0, 932.851, 0.0277022
41.0754, 879.769, 0, 926.952, 0.0274229
35.1826, 879.769, 0, 921.06, 0.0327264
43.9528, 879.769, 0, 929.83, 0.0111682
34.402, 879.769, 0, 920.279, 0.0371537
46.7646, 879.769, 0, 932.642, 0.0348999
36.916, 879.769, 0, 922.793, 0.0242432
38.5203, 879.769, 0, 924.397, 0.029514
45.9144, 879.769, 0, 931.791, 0.0240883
45.345, 879.769, 0, 931.222, 0.0209187
37.9756, 879.769, 0, 923.853, 0.0471977
42.3038, 879.769, 0, 928.181, 0.0281963
38.1693, 315.111, 493.338, 854.339, 0.547016
36.1196, 764.617, 154.071, 962.717, 0.152641
42.5854, 801.932, 36.2948, 888.781, 0.0698363
42.2188, 808.769, 14.031, 873.122, 0.0946808
43.8517, 810.522, 8.87844, 871.437, 0.0153221
47.8295, 810.869, 6.90981, 873.876, 0.045306
41.4315, 810.795, 5.58915, 866.153, 0.0168064
42.0353, 810.586, 5.66212, 866.684, 0.0207324
43.1316, 810.342, 4.0191, 865.948, 0.0222776
37.7926, 810.101, 4.12713, 860.524, 0.0200826
37.4447, 809.875, 3.10134, 858.966, 0.0200014
36.9983, 809.669, 3.69961, 858.95, 0.0229978
35.1788, 809.485, 0.00191286, 853.282, 0.0289219
40.3124, 804.15, 0.0325261, 853.152, 0.0178121
35.1221, 800.349, 0.107845, 844.271, 0.0318041
37.2216, 797.558, 0.150667, 843.654, 0.0191346
39.5329, 795.456, 0.228725, 843.969, 0.0329891
38.9355, 793.838, 0.241786, 841.791, 0.0213846
43.7811, 792.57, 0.286178, 845.434, 0.00938445
51.1726, 791.56, 0.389156, 851.937, 0.0312521
33.2317, 790.745, 0.370947, 833.18, 0.0141328
35.8263, 790.08, 0.548421, 835.301, 0.013407
39.8455, 789.531, 0.406186, 838.642, 0.0283344
40.6202, 789.075, 0.000495964, 838.566, 0.0447726
40.1771, 787.819, 0.00281485, 836.879, 0.0430664
31.0368, 786.766, 0.00989289, 826.701, 0.0161993
32.3448, 785.877, 0.0186917, 827.137, 0.0313446
33.5462, 785.123, 0.0191242, 827.591, 0.0264903
36.0893, 784.48, 0.0318179, 829.51, 0.0132558
33.6911, 783.931, 0.0377031, 826.574, 0.0190483
39.5319, 783.459, 0.0291203, 831.939, 0.0282734
33.8998, 783.053, 0.0758645, 825.951, 0.0121497
33.8269, 782.702, 0.0586446, 825.514, 0.0784086
45.5139, 782.398, 0.0668797, 836.908, 0.041373
36.1823, 782.135, 0.0704583, 827.32, 0.0261876
35.9192, 781.906, 0.0495984, 826.81, 0.0302726
35.8676, 781.708, 0.0711234, 826.583, 0.0315056
36.7158, 781.534, 0.0868542, 827.275, 0.0118716
35.4959, 781.383, 0.0713637, 825.89, 0.0119197
37.287, 781.251, 0.070206, 827.549, 0.0484372
42.3182, 781.135, 1.78728e-05, 832.396, 0.040639
36.6718, 780.992, 7.26779e-05, 826.608, 0.028726
41.6801, 780.867, 0.000205051, 831.492, 0.0303712
35.5489, 780.758, 0.000339955, 825.252, 0.0181221
38.943, 780.661, 0.000395324, 828.551, 0.0244753
36.7363, 780.577, 0.000539381, 826.261, 0.0189603
41.4154, 780.503, 0.000669408, 830.867, 0.0106861
37.1626, 780.438, 0.000733999, 826.55, 0.0237583
40.636, 780.381, 0.000715401, 829.967, 0.0384479
35.5748, 780.331, 0.000808495, 824.856, 0.0521426
45.0061, 780.288, 0.00111379, 834.244, 0.0424066
36.806, 780.249, 0.00156731, 826.006, 0.0220601
40.493, 780.215, 0.00118399, 829.659, 0.0461181
46.0716, 780.185, 0.00126878, 835.208, 0.0178785
35.6886, 780.159, 0.00166976, 824.8, 0.0100672
41.8887, 780.136, 0.00155979, 830.977, 0.0204181
40.7535, 780.116, 0.00159912, 829.822, 0.020698
40.4708, 780.098, 0.00144909, 829.521, 0.0140859
39.0952, 780.082, 3.18693e-07, 828.128, 0.015201
37.6234, 780.068, 1.11546e-06, 826.642, 0.0412214
34.5906, 780.055, 1.66325e-06, 823.597, 0.0283308
39.3899, 780.044, 2.71255e-06, 828.385, 0.0220693
36.3326, 780.035, 3.689e-06, 825.318, 0.0426199
34.4272, 780.026, 6.59773e-06, 823.405, 0.0344928
35.5682, 780.018, 6.06329e-06, 824.538, 0.0351223
37.9766, 780.012, 8.47603e-06, 826.94, 0.0462419
34.6209, 780.006, 3.63414e-08, 823.578, 0.0154196
38.2677, 780.001, 1.55819e-07, 827.22, 0.0123713
41.7981, 779.996, 2.43846e-07, 830.746, 0.0154786
33.7564, 779.992, 3.45031e-07, 822.7, 0.0195811
43.9707, 779.989, 5.16913e-07, 832.911, 0.0810783
41.958, 779.986, 8.88654e-07, 830.895, 0.0321672
37.9625, 779.983, 8.84471e-07, 826.897, 0.00890375
39.13, 779.98, 1.22628e-06, 828.062, 0.0473736
35.9346, 779.978, 1.35613e-06, 824.865, 0.0272408
37.6983, 779.976, 1.32734e-06, 826.626, 0.0120752
35.7496, 779.975, 1.49316e-06, 824.676, 0.0345871
42.7341, 779.973, 1.39853e-06, 831.659, 0.0151978
36.8706, 779.972, 1.24125e-06, 825.794, 0.0332316
41.657, 779.971, 1.46071e-06, 830.58, 0.0397812
35.9337, 779.97, 1.78732e-06, 824.855, 0.0242345
40.4661, 779.969, 2.41717e-06, 829.387, 0.0273295
33.1857, 779.968, 2.25471e-06, 822.106, 0.0465937
37.1767, 779.968, 2.08107e-06, 826.096, 0.0361835
40.3344, 779.967, 2.35021e-06, 829.253, 0.0176278
39.4668, 779.967, 2.54037e-06, 828.385, 0.0466675
36.6741, 779.966, 1.94062e-06, 825.592, 0.0201392
31.0278, 779.966, 2.0426e-06, 819.945, 0.0224177
38.0488, 779.965, 1.91315e-06, 826.966, 0.0161431
38.052, 779.965, 2.41093e-06, 826.969, 0.0162367
40.2716, 779.965, 2.78667e-06, 829.188, 0.0273996
38.2509, 779.965, 9.39815e-11, 827.167, 0.0124983
38.6212, 779.964, 2.49332e-10, 827.537, 0.0239182
37.9463, 779.964, 4.08813e-10, 826.862, 0.0251016
36.7059, 779.964, 8.05999e-10, 825.622, 0.0201876
40.941, 779.964, 1.00637e-09, 829.857, 0.0283088
36.6262, 779.964, 1.15694e-09, 825.542, 0.0300269
41.0003, 779.964, 1.38974e-09, 829.916, 0.0180535
41.0382, 779.964, 1.57784e-09, 829.954, 0.034436
38.5172, 779.963, 2.28533e-09, 827.432, 0.0226466
35.2012, 779.963, 2.95955e-09, 826.946, 0.0262356
32.2713, 779.963, 2.3093e-09, 824.016, 0.0346215
34.4908, 779.963, 2.85972e-09, 826.235, 0.0340833
37.0005, 779.963, 3.63325e-09, 828.745, 0.0526464
44.3515, 779.963, 2.77905e-12, 836.096, 0.0124434
33.9359, 779.963, 7.75706e-12, 825.68, 0.0143702
42.9961, 779.963, 1.66936e-11, 834.74, 0.0177905
35.1081, 779.963, 1.91252e-11, 826.852, 0.0304523
41.7633, 779.963, 3.28685e-11, 833.508, 0.0189183
